SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NR_PARTIDO,NM_PARTIDO
210001944525,22123,JULIO CESAR MELOS DOS SANTOS,22,PARTIDO LIBERAL
210001950046,11150,LINIKER LOURENÇO DE FRAGA,11,PROGRESSISTAS
210002267379,15555,LUIZ ÁLVARO MATHIAS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002268191,11234,ANA PAULA RIBEIRO CASTRO,11,PROGRESSISTAS
210001955968,13123,DIRCE INES DAPPER,13,PARTIDO DOS TRABALHADORES
210001956904,13000,ANGENOR DOS REIS DE ALMEIDA,13,PARTIDO DOS TRABALHADORES
210002050857,20051,MARIA ELIZABETH COELHO NOMS,20,PODEMOS
210002057709,12147,ANNE MOMBAQUE SILVEIRA GUIMARÃES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002062150,11444,JOÃO BATISTA JAYME PEREIRA,11,PROGRESSISTAS
210002063137,44333,VINICIUS MARTINS,44,UNIÃO BRASIL
210002065396,20122,ALCIONE JOSÉ BERTOLDI,20,PODEMOS
210002146492,55300,ELOIR FRANCISCO DAMBROS,55,PARTIDO SOCIAL DEMOCRÁTICO
210002147380,20585,DIEGO ALVIRA DE CASTRO,20,PODEMOS
210002149993,15515,ALCIONE TREMEA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002151080,13013,FERNANDO HUSEIN ISA ABDALLA,13,PARTIDO DOS TRABALHADORES
210002155053,13013,JOÃO MARIA DA SILVA RODRIGUES,13,PARTIDO DOS TRABALHADORES
210002156947,12678,ROSILETI SILVA VASCONCELOS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001940079,10,RENATO SILVEIRA,22,PARTIDO LIBERAL
210001946681,12333,JOICE PERCHIM DE MOURA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001947527,44112,MARION SUELI FERREIRA DA ROSA,44,UNIÃO BRASIL
210002140656,55055,MARIA CRISTINA DA SILVA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002195399,15678,LIZIANE BRASIL JARDIM NOSTRANI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002204670,11111,ALEXANDRE PITON,11,PROGRESSISTAS
210002206763,11,JULIANO CASANOVA,11,PROGRESSISTAS
210001996074,11666,CLARICE MORCHE DE OLIVEIRA,11,PROGRESSISTAS
210001996719,10888,MARA REGINA DE OLIVEIRA,10,REPUBLICANOS
210001998838,13777,ANTÔNIO ROGERIO DE SOUZA,13,PARTIDO DOS TRABALHADORES
210002002027,22222,SIDNEI DANIEL DOS SANTOS,22,PARTIDO LIBERAL
210002005284,13111,SOLANGE SILVEIRA ANTUNES,13,PARTIDO DOS TRABALHADORES
210002057416,22130,ANDERSON DOS SANTOS MESQUITA,22,PARTIDO LIBERAL
210002059825,22200,EMERSON KIRCHHEIM,22,PARTIDO LIBERAL
210002154448,13000,WAGNER MAIA SPIER,13,PARTIDO DOS TRABALHADORES
210002156198,11386,SUZANA KAYSER,11,PROGRESSISTAS
210002156786,12005,JANETE MILGIORANSA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002268207,13000,MARCELO RONAVI DALSSOTTO,13,PARTIDO DOS TRABALHADORES
210001941418,22789,JACQUES DOUGLAS KONZEN,22,PARTIDO LIBERAL
210001942068,11123,JANDIRA TEREZINHA DE VARGAS VIEIRA,11,PROGRESSISTAS
210001996075,11333,JOÃO CARLOS RODRIGUES DOS SANTOS,11,PROGRESSISTAS
210001999108,12333,ALICE DE CASSIA FIGUEIRO DOS SANTOS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002004469,11777,ADRIANE MARCONI MIELKE,11,PROGRESSISTAS
210002005281,13560,PEDRO CANISIO DULLIUS,13,PARTIDO DOS TRABALHADORES
210002055915,11160,SALETE MARLÍ FERREIRA,11,PROGRESSISTAS
210002057764,22,JACKSON RABUSKE,22,PARTIDO LIBERAL
210002058773,12123,ALBENEIR TONET DOS SANTOS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002063193,10600,CRISTIAN OLIVEIRA DE SOUZA,10,REPUBLICANOS
210002150634,40456,ALTAIR PAULO BRANDT,40,PARTIDO SOCIALISTA BRASILEIRO
210002155404,13130,JOSE PAULO KEHL,13,PARTIDO DOS TRABALHADORES
210002156788,12500,SANDRA ISABEL DA COSTA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002250541,15015,MARCIO TACIANO TONEL,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002286684,13247,EVANDRO DE OLIVEIRA,13,PARTIDO DOS TRABALHADORES
210002362168,12312,LUIZ ANTONIO MARCON,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002362811,15000,DANIEL RODRIGUES,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002363096,13123,SIRLEI STÉDILE,13,PARTIDO DOS TRABALHADORES
210002369086,20777,EVERTON RODRIGO DE SOUZA,20,PODEMOS
210002369173,10123,MICHAEL RODRIGUES GUISOLFI,10,REPUBLICANOS
210002381031,15500,MARIA LUIZA SUAREZ MORAES,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002303491,10777,VALDEMAR NUNES MACIEL,10,REPUBLICANOS
210002305159,12123,ALCEU ROBERTO ZAKSESKI,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002369237,22888,ZENEI DIVINA RIBEIRO,22,PARTIDO LIBERAL
210002378610,55789,RONALDO MANICA RAMOS,55,PARTIDO SOCIAL DEMOCRÁTICO
210001909394,11222,ANTONIO PAULO GONZAGA,11,PROGRESSISTAS
210001910536,11111,CRISTIANO DUTRA NUNES,11,PROGRESSISTAS
210001912066,45136,ALESSANDRA OLIVEIRA MENDES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001912104,13333,JANDIR FRANCISCO DAL PIAZ,13,PARTIDO DOS TRABALHADORES
210001912646,10300,ROGÉRIO SANTOS CARNEIRO,10,REPUBLICANOS
210001913262,20192,JOÃO ALEXANDRE CECCON,20,PODEMOS
210001914156,50500,INGRA COSTA E SILVA,50,PARTIDO SOCIALISMO E LIBERDADE
210001916674,45045,CRISTIANO LEIVAS MORAES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001918454,20777,DIEGO HENRIQUE SCHMIDT,20,PODEMOS
210001918537,15900,CLARICE MARIBEL ANJOLIN KOLLING,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001918885,55789,LUCINEIA DA ROCHA,55,PARTIDO SOCIAL DEMOCRÁTICO
210001970706,13213,GRACIELE NICOLODI DE OLIVEIRA,13,PARTIDO DOS TRABALHADORES
210001972866,15610,JORGE ANTONIO WILLRICH,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001975895,40888,AMANDA INES EMMEL,40,PARTIDO SOCIALISTA BRASILEIRO
210001978282,10110,EDUARDO DAVID DE MORAES,10,REPUBLICANOS
210002022669,11,GASPAR BEHNE,11,PROGRESSISTAS
210002029427,15678,MELISSA DA SILVA SCHMITT,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002031340,11555,FABIANO WILDNER,11,PROGRESSISTAS
210002377733,15150,CIDIA BEDIN,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002388546,22777,ELENIR MARIA KUTZNER MARQUES,22,PARTIDO LIBERAL
210002366035,50050,MAGDA PINTO FERNANDES,50,PARTIDO SOCIALISMO E LIBERDADE
210002366299,15113,MAURO GONÇALVES MACIEL,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002375415,11611,ADEMIR CECHET,11,PROGRESSISTAS
210002380241,15,ALCINDO LUIZ FERNANDES LEITE,11,PROGRESSISTAS
210002386699,13013,EDITE RIBEIRO DA LUZ,13,PARTIDO DOS TRABALHADORES
210002330118,25678,MOISES MENDES DOS REIS,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002338475,12111,ISABEL CRISTINA FAGUNDES DE OLIVEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002340462,40999,CECILIA VICENTE BORTOLATO,40,PARTIDO SOCIALISTA BRASILEIRO
210001918400,44060,VALMOR CARLOS MILBRATH,44,UNIÃO BRASIL
210001918463,12200,PAULO ROBERTO SANTOS DA ROSA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001918889,55411,LEANA REJANE THIELE,55,PARTIDO SOCIAL DEMOCRÁTICO
210001919017,40333,CRISTIANO FAGUNDES DUARTE,40,PARTIDO SOCIALISTA BRASILEIRO
210001972046,13513,JULIANO MAGNAGUAGNO,13,PARTIDO DOS TRABALHADORES
210001972792,22789,ALINE RAQUEL DRESCH,22,PARTIDO LIBERAL
210001973535,22233,ALDO SOLKA,22,PARTIDO LIBERAL
210001974244,12123,SÉRGIO TADEU DE LIMA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001976275,10003,WILLY ADOLFO SCHNEIDER,10,REPUBLICANOS
210002023616,22525,ROBERTO LIMA DA SILVA,22,PARTIDO LIBERAL
210002031053,15555,MAIKE DE MORAES MOURA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002339501,11666,DENISE TERESINHA PELEGRINI,11,PROGRESSISTAS
210002346160,15151,WELLERSON PEIXOTO PACHECO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001908970,22580,MARCO ANTONIO CARVALHO SASSO,22,PARTIDO LIBERAL
210002212316,15,FRANK TROJAHN BORDIGNON,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002213338,15114,ALTAMIS SEBASTIAO KECHNER,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001909062,55433,ROBERTO MARTINS AVILA,55,PARTIDO SOCIAL DEMOCRÁTICO
210001910530,11333,ALDO MACHADO,11,PROGRESSISTAS
210001911029,30500,FILIPE DE DAVID ILHA,30,PARTIDO NOVO
210001911579,11111,LUIZ GUIOMAR TRINDADE JARDIM,11,PROGRESSISTAS
210001911582,10111,ANTONIETA FRANÇA,10,REPUBLICANOS
210001912987,22001,ILSE MARIA DE MELLO SANTANA,22,PARTIDO LIBERAL
210002214512,22017,RODRIGO SCHIRMER,22,PARTIDO LIBERAL
210001915155,30190,PAULO ROBERTO SILVA LAMAS,30,PARTIDO NOVO
210001916528,10111,MICHAEL PAZINI FERNANDES,10,REPUBLICANOS
210001916624,15888,MAURICIO CAETANO MELO DE AGUIAR,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002210002,13500,LARISSA CHARLES ANACLETO DE OLIVEIRA,13,PARTIDO DOS TRABALHADORES
210001918900,44321,NARA DIAS DOS SANTOS,44,UNIÃO BRASIL
210001970762,15022,RONALDO KERSTING DOS SANTOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001976559,23,MOACIR CLOMAR JAGUCHESKI,23,CIDADANIA
210001915152,30999,DAIANE DA SILVA FARIAS,30,PARTIDO NOVO
210001916876,45677,ANDERSON BARCELOS CORREA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001918469,12777,MAGALI ALFF,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001919022,40555,GILMAR MADEIRA,40,PARTIDO SOCIALISTA BRASILEIRO
210001973355,16555,LUCAS PIRES DOS SANTOS,16,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
210001973437,11100,ANDRE MUSSOI,11,PROGRESSISTAS
210001976879,55456,ANNA BEATRIZ SANTOS PIRES DA SILVA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002023849,12333,JULIANA DA SILVEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002024707,11888,CAREN ALICE COELHO DA SILVA,11,PROGRESSISTAS
210002028018,11115,VERA REGINA DE AZEVEDO,11,PROGRESSISTAS
210002031327,11222,FRANCIELI KLIN DA SILVA,11,PROGRESSISTAS
210002331630,15,LUIS ROBERTO MAGNANI,44,UNIÃO BRASIL
210002334170,13999,EDENILSON DE ALMEIDA BRAZEIRO,13,PARTIDO DOS TRABALHADORES
210002334191,45000,ERAJANE CRISTINA OPSZARSKI IANKEVICZ,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001886671,10222,FLAVIO RICARDO JESUS MELLO NOGUEIRA,10,REPUBLICANOS
210001900617,12422,SUZAN DIAS LATORRE,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001900986,20222,GILMAR RODRIGUES DA SILVA,20,PODEMOS
210001901181,10001,ROBERTO MACHADO DE OLIVEIRA,10,REPUBLICANOS
210002212510,44123,JAIR FARIAS,44,UNIÃO BRASIL
210002343944,12555,LEANDRO GONÇALVES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002214530,13000,SÉRGIO ROBERTO RIBEIRO,13,PARTIDO DOS TRABALHADORES
210002219975,55,MITIELE LOPES ESPINDOLA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002220389,45999,CRISTIANO ELIAS PEITER DE MELLO,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001907134,12222,MARIA MADALENA MORAES DE OLIVEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002276875,10000,THIAGO PIRES MOREIRA,10,REPUBLICANOS
210002280027,11444,SUSANA DA SILVA,11,PROGRESSISTAS
210001964868,22008,LUCIANA PAOLA CAMILOTTI,22,PARTIDO LIBERAL
210001966054,55075,CANDIDO EMILIANO GALLEGOS ACOSTA,55,PARTIDO SOCIAL DEMOCRÁTICO
210001969659,22444,ISMAEL CHERUTI FERRI,22,PARTIDO LIBERAL
210002008089,10007,CARLOS ARTUR DA ROSA,10,REPUBLICANOS
210002008211,11601,JULIA SILVA CARVALHO,11,PROGRESSISTAS
210002008218,22534,JORGE JOCELI OLIVEIRA MOREIRA,22,PARTIDO LIBERAL
210002015205,15678,CANDIDA GALIOTTO PAULETTI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002334950,15,ALAIS LOVERA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002018368,12200,RODRIGO PASSOS DIAS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002021677,12412,GEISON DOS SANTOS MACHADO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002072287,44567,GUILHERME DE BORBA,44,UNIÃO BRASIL
210002081505,11411,CLAUDIA ZATTI DA FONSECA,11,PROGRESSISTAS
210002161274,12345,MIRIAM APARECIDA DA SILVA FONTANA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001886158,10319,JOSE ADAO MOREIRA,10,REPUBLICANOS
210001898368,30444,PEDRO RONALDO SILVA COURINO JUNIOR,30,PARTIDO NOVO
210001901345,10123,MARCONE KLAFKE SOARES,10,REPUBLICANOS
210001906190,10300,HILSON VANDERLEI SCHMECHEL LUCAS,10,REPUBLICANOS
210001963996,12,CLEONIR JOSE BERGMANN DE ABREU,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001965096,11222,ANA VALERIA GAVIRAGHI BIDIN,11,PROGRESSISTAS
210001965666,11023,GABRIEL KWIATKOWSKI JUNIOR,11,PROGRESSISTAS
210002011293,12123,ALOISIO JOSE JUNGES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002014341,45,JOSÉ CARLOS PEREIRA BECKER,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002015978,22444,DAVI CABRAL DOS REIS,22,PARTIDO LIBERAL
210002016459,13013,VERA LUCIA FYSZER KUCHARSKI,13,PARTIDO DOS TRABALHADORES
210002017039,22,JULIANO CARVALHO DA SILVA,22,PARTIDO LIBERAL
210002018042,12777,ANTONIO MARCOS FONCECA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002019486,22,TITO LÍVIO JAEGER FILHO,22,PARTIDO LIBERAL
210002020369,11022,JORGE ALBERTO DUTRA DIAS,11,PROGRESSISTAS
210002020389,13333,RENATO PIRES POVOA,13,PARTIDO DOS TRABALHADORES
210002021272,22369,JULIO RONES DE OLIVEIRA CARDOSO,22,PARTIDO LIBERAL
210002021502,40240,JULIANO DA SILVA CORRÊA,40,PARTIDO SOCIALISTA BRASILEIRO
210002021601,40169,SUELI TEREZINHA BORGES DE CASTRO,40,PARTIDO SOCIALISTA BRASILEIRO
210002021832,70070,RONALDO BARCELOS RIBEIRO,70,AVANTE
210002066077,45044,DANIELA POLITOWSKI,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002066092,45900,MOISÉS DA SILVA BARBOZA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002071459,12662,CLÁUDIO LUIZ ROSA FERREIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002071581,55411,JOSE DARCI DA ROSA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002073135,44123,MARCELA TATIANA KUNRATH,44,UNIÃO BRASIL
210002161303,22024,ANTONIO JORGE OLIVEIRA DA ROSA,22,PARTIDO LIBERAL
210002161584,11888,GUSTAVO KIST MALDANER,11,PROGRESSISTAS
210002162537,15222,LINDOLFO ROBERTO HOLDEFER,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002164368,12000,ÉDER DE OLIVEIRA FIORAVANTE,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002166115,11222,GEOLAR DA COSTA LEITE,11,PROGRESSISTAS
210002169118,15999,ZIGOMAR JOAO FRIZON,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002105181,15615,GERSON LUIS PASTORIZA RIBEIRO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002106211,13555,CARLA SIMONE DE OLIVEIRA BLASKOWSKI,13,PARTIDO DOS TRABALHADORES
210002106213,13936,VALÉRIA DA SILVA QUADROS,13,PARTIDO DOS TRABALHADORES
210002108505,44146,LUIZA NASCIMENTO DOS SANTOS,44,UNIÃO BRASIL
210002114157,15615,EDSON FACCIN,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002115452,15611,JERÔNIMO ARAÚJO MIQUELIN,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002115453,15015,JOSE VALDEMAR LOPES DE LIMA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002123173,15777,ADRIANE DE FÁTIMA CAMARGO DE MELLO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002170324,12345,MAICON ANDREI DUZ,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002170512,20600,PATRICIA DA ROSA SOUZA DE MEDEIROS,20,PODEMOS
210002173319,15,ERENEU JOSE BOGONI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002183813,28770,FATIMA APARECIDA NUNES,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
210002186961,12012,BRUNO HENRIQUE AIRIS FREITAS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002234449,20027,SOELI BUACZIK,20,PODEMOS
210002235074,10200,MARCI ELVINO FERREIRA,10,REPUBLICANOS
210001931672,44555,ROBINSON HENRIQUE SILVA DA SILVA,44,UNIÃO BRASIL
210001933504,11333,CELOMAR WALTER SCHWALM,11,PROGRESSISTAS
210002104010,40000,ANERIO ZIMMER,40,PARTIDO SOCIALISTA BRASILEIRO
210002108465,40444,JOSE ALCEU DAS CHAGAS,40,PARTIDO SOCIALISTA BRASILEIRO
210002117376,25000,VANIA PEREIRA DOS SANTOS,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002119403,22622,JOSE ONIRO LOPES,22,PARTIDO LIBERAL
210002180968,11131,CRISTIANE INÊS DOS SANTOS,11,PROGRESSISTAS
210002183554,11,EDVALDO ROSA RIBEIRO,11,PROGRESSISTAS
210002190054,13013,LUCAS NASCIMENTO BRAGA SILVA,13,PARTIDO DOS TRABALHADORES
210002233189,40650,CLEBERSON DE MORAIS SANDERSON,40,PARTIDO SOCIALISTA BRASILEIRO
210002235214,15009,MARIO ANTONIO CORTELINI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002272618,13700,PAULO SÉRGIO BAICOA DA CONCEIÇÃO,13,PARTIDO DOS TRABALHADORES
210002326107,11311,ERICO FRANCISCO FERNANDES,11,PROGRESSISTAS
210001919639,13789,MARCIA CRISTINA ANTUNES,13,PARTIDO DOS TRABALHADORES
210001921045,44114,ILDOMAR BELLINAZO,44,UNIÃO BRASIL
210001926068,45678,RAFAEL DA SILVEIRA ELIAS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001931975,11,GEDERSON MORI,11,PROGRESSISTAS
210001985830,12339,DAIANA FIGUEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001987834,45001,GERSON LUIZ BENEDUZI,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001991938,22922,SERGIO CAMARGO FERNANDES,22,PARTIDO LIBERAL
210001992429,15006,VAGNER CERENTINI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001993454,55550,SOLANGE SOUZA MOARES,55,PARTIDO SOCIAL DEMOCRÁTICO
210002038092,70013,FABIO SILVA BAPTISTA,70,AVANTE
210002041601,15999,MARCO AURÉLIO DUTRA SILVEIRA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002041748,40777,MAFALDA FURTADO DA ROSA,40,PARTIDO SOCIALISTA BRASILEIRO
210002125119,44123,DARILDO JOSÉ ANGELI,44,UNIÃO BRASIL
210002126867,15678,JARDEL DE ARRIAL,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002130333,44110,EDUARDO GEORG,44,UNIÃO BRASIL
210002306206,55012,CÁTIA CRISTINA COLOMBO DE BORBA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002219726,15007,ADEMIR BLINI DA SILVEIRA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002220693,15477,FELIPE NERI FRAGA RIBEIRO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002275053,15,RONI SPÉZIA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002278852,11411,ELIANE PADILHA WERLE,11,PROGRESSISTAS
210002281033,55123,JULIANO VALIM SOARES,55,PARTIDO SOCIAL DEMOCRÁTICO
210002283491,44777,WILLIAN CRISTIAN DA ROCHA GONCALVES,44,UNIÃO BRASIL
210001989808,12234,NICOLE CRISTINA VIEIRA CANDEIA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001991888,27123,JAINE VARGAS MORAES,27,DEMOCRACIA CRISTÃ
210001993432,13687,SILVIO LUIS CECILIO DA SILVA,13,PARTIDO DOS TRABALHADORES
210002039911,22229,ELIANE MARINÊS FRUHLING GUTH,22,PARTIDO LIBERAL
210002042774,13193,ANTONIO ALEXANDRE MOURA DE QUADRO,13,PARTIDO DOS TRABALHADORES
210002048928,11444,PEDRO HENRIQUE BATISTA COMIN,11,PROGRESSISTAS
210002131614,15,DAIANE TIBULO KORBES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002306249,12,DALMA MACHADO DOS SANTOS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001894989,20222,PRICILA DE OLIVEIRA BARRA,20,PODEMOS
210001898384,30789,JOSÉ EUGÊNIO MARANHÃO,30,PARTIDO NOVO
210001898500,30000,RAFAEL LUIZ FANTIN,30,PARTIDO NOVO
210001903767,44555,ERNO ELLWANGER,44,UNIÃO BRASIL
210001905929,10500,THIAGO SANTANA GOMES,10,REPUBLICANOS
210002211753,11611,HARLEI LORSCHEITER,11,PROGRESSISTAS
210002212873,13013,NILVO CAMATTI,13,PARTIDO DOS TRABALHADORES
210002214596,45,FILIPE ALMEIDA DE SOUZA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002219297,22122,VANDERLEI PAULO TOLFO,22,PARTIDO LIBERAL
210002219302,22777,ELENI SIMON,22,PARTIDO LIBERAL
210002219533,22123,MAICON ISMAEL FEILSTRECKER,22,PARTIDO LIBERAL
210001963431,12888,PEDRO JESUS ROBALO LAGO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002273668,45456,NESTOR PEDRO HENZ,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002273817,23456,ZAIRA MARIA SOUZA NUNES,23,CIDADANIA
210001967775,44000,DENER DUARTE POLITA,44,UNIÃO BRASIL
210001968102,11555,LUCIANE DELLA PACE SAGRILLO,11,PROGRESSISTAS
210001970124,35777,JEAN LUIZ DE BASTOS DA SILVA,35,PARTIDO DA MULHER BRASILEIRA
210001970387,15678,NATANAEL DINIZ DE CAMPOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002280768,44222,SILVANE MENDEL,44,UNIÃO BRASIL
210002008086,10999,MOISES PEREIRA MACIEL,10,REPUBLICANOS
210002008192,22111,FERNANDO ANTÔNIO DUARTE TEIXEIRA,22,PARTIDO LIBERAL
210002016562,11,MARCELO SANTOS DA SILVA,44,UNIÃO BRASIL
210002069725,11000,PATRICK LUIZ BORGMANN,11,PROGRESSISTAS
210002072121,30000,LUIZ ANTÔNIO DOS SANTOS PEREIRA,30,PARTIDO NOVO
210002162250,12,ADAIR PAULO LAUERMANN,13,PARTIDO DOS TRABALHADORES
210002162674,20140,PAMELA DE SOUZA TRINDADE,20,PODEMOS
210002162921,22,NELSON JOSE FONSECA SMOLA,22,PARTIDO LIBERAL
210002164623,45789,VANDERLEIA DA SILVA PEREIRA MARTINS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001885064,55555,GILNEI LUIS TEM PAHSS,55,PARTIDO SOCIAL DEMOCRÁTICO
210001886533,20777,MARCOS DA ROSA DA ROCHA,20,PODEMOS
210001898373,30190,SIDNEY PROCOPIO DE MORAIS,30,PARTIDO NOVO
210001906173,15,ANA PAULA MENDES MACHADO DELOLMO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001906785,13513,IVONE DA SILVA MORAES,13,PARTIDO DOS TRABALHADORES
210001908310,11555,CEZAR AUGUSTO POHLMANN,11,PROGRESSISTAS
210001962137,15777,ONEIDE BEDIN MACHADO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001968042,12222,RUDINEI FERREIRA CORTESE,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001968780,15678,GUSTAVO DIELLO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002008178,15615,CÁSSIA EDUARDA FELBER,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002011700,45555,NAIRO ALEX GRALA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002013959,45123,CLARINÊS PAIM GUIMARÃES BECKER,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002020430,40000,MARCOS LOPES LUSANA,40,PARTIDO SOCIALISTA BRASILEIRO
210002021602,40040,ORACI DE SOUZA TEIXEIRA,40,PARTIDO SOCIALISTA BRASILEIRO
210002021841,70170,DENIS FERREIRA MARTINS,70,AVANTE
210002070562,40555,LIZETE OHLWEILER DIAS,40,PARTIDO SOCIALISTA BRASILEIRO
210002072117,30777,CLOVIS NEI LOUZADA LAGES,30,PARTIDO NOVO
210002081506,11222,IDEMAR VICENTE PALUDO,11,PROGRESSISTAS
210002160338,12623,LÍRIO HAMMERSCHMITT,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002162675,20123,ELIAS PORTELA DALLACORT,20,PODEMOS
210002164361,12607,FIRMINA CONCEIÇÃO MARTINS SOARES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002170016,15,ANDRÉ ZANELATTO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002108510,44567,ADELAR MATTER,44,UNIÃO BRASIL
210002283892,22111,RICARDO DE COUTO VARGAS,22,PARTIDO LIBERAL
210002115637,45999,GUSTAVO MAGAGNA DE ABREU,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
